,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,LOR,attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,LTYRTY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[array([51., 51., 61.])]","[array([ 0., 39.,  0.])]","[array([51769., 51769., 43226.])]","[array([ 5250.,  5250., 10406.])]","[array([9639., 9639., 5761.])]","[array([1126., 1126., 4629.])]","[array([11062., 11062., 14452.])]","[array([ 7056.,  7056., 15885.])]","[array([5298., 5298., 4810.])]","[array([47., 47., 69.])]","[array([40576., 40576., 13315.])]",2
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,"[array([51., 51., 61.])]","[array([ 0., 39.,  0.])]","[array([51769., 51769., 43226.])]","[array([ 5250.,  5250., 10406.])]","[array([9639., 9639., 5761.])]","[array([1126., 1126., 4629.])]","[array([11062., 11062., 14452.])]","[array([ 7056.,  7056., 15885.])]","[array([5298., 5298., 4810.])]","[array([47., 47., 69.])]","[array([40576., 40576., 13315.])]",2
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,"[array([51., 51., 61.])]","[array([ 0., 39.,  0.])]","[array([51769., 51769., 43226.])]","[array([ 5250.,  5250., 10406.])]","[array([9639., 9639., 5761.])]","[array([1126., 1126., 4629.])]","[array([11062., 11062., 14452.])]","[array([ 7056.,  7056., 15885.])]","[array([5298., 5298., 4810.])]","[array([47., 47., 69.])]","[array([40576., 40576., 13315.])]",2
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2,"[array([ 0.,  0., 34.])]","[array([ 0., 72.,  0.])]","[array([11200., 11200., 61726.])]","[array([ 7582.,  7582., 22938.])]","[array([ 9875.,  9875., 10092.])]","[array([2215., 2215., 3733.])]","[array([15987., 15987., 44850.])]","[array([ 4520.,  4520., 47710.])]","[array([1914., 1914., 3960.])]","[array([ 0.,  0., 38.])]","[array([  4816.,   4816., 157917.])]",2
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,2,"[array([ 0.,  0., 34.])]","[array([ 0., 72.,  0.])]","[array([11200., 11200., 61726.])]","[array([ 7582.,  7582., 22938.])]","[array([ 9875.,  9875., 10092.])]","[array([2215., 2215., 3733.])]","[array([15987., 15987., 44850.])]","[array([ 4520.,  4520., 47710.])]","[array([1914., 1914., 3960.])]","[array([ 0.,  0., 38.])]","[array([  4816.,   4816., 157917.])]",2
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,1,"[array([0., 0., 0.])]","[array([  0., 105.,   0.])]","[array([1314224., 1314224.,  404785.])]","[array([70613., 70613.,  6130.])]","[array([34695., 34695.,  1473.])]","[array([43156., 43156., 52751.])]","[array([51464., 51464.,  4368.])]","[array([16053., 16053.,  4860.])]","[array([1884., 1884.,  701.])]","[array([0., 0., 0.])]","[array([86549., 86549., 33613.])]",2
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,1,"[array([0., 0., 0.])]","[array([  0., 105.,   0.])]","[array([1314224., 1314224.,  404785.])]","[array([70613., 70613.,  6130.])]","[array([34695., 34695.,  1473.])]","[array([43156., 43156., 52751.])]","[array([51464., 51464.,  4368.])]","[array([16053., 16053.,  4860.])]","[array([1884., 1884.,  701.])]","[array([0., 0., 0.])]","[array([86549., 86549., 33613.])]",2
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,1,"[array([0., 0., 0.])]","[array([  0., 105.,   0.])]","[array([1314224., 1314224.,  404785.])]","[array([70613., 70613.,  6130.])]","[array([34695., 34695.,  1473.])]","[array([43156., 43156., 52751.])]","[array([51464., 51464.,  4368.])]","[array([16053., 16053.,  4860.])]","[array([1884., 1884.,  701.])]","[array([0., 0., 0.])]","[array([86549., 86549., 33613.])]",2
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,1,"[array([0., 0., 0.])]","[array([  0., 105.,   0.])]","[array([1314224., 1314224.,  404785.])]","[array([70613., 70613.,  6130.])]","[array([34695., 34695.,  1473.])]","[array([43156., 43156., 52751.])]","[array([51464., 51464.,  4368.])]","[array([16053., 16053.,  4860.])]","[array([1884., 1884.,  701.])]","[array([0., 0., 0.])]","[array([86549., 86549., 33613.])]",2
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,1,"[array([0., 0., 0.])]","[array([  0., 105.,   0.])]","[array([1314224., 1314224.,  404785.])]","[array([70613., 70613.,  6130.])]","[array([34695., 34695.,  1473.])]","[array([43156., 43156., 52751.])]","[array([51464., 51464.,  4368.])]","[array([16053., 16053.,  4860.])]","[array([1884., 1884.,  701.])]","[array([0., 0., 0.])]","[array([86549., 86549., 33613.])]",2
